listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
536691,Charming flat in Södermalm,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/32921615/ac0007a2_original.jpg?aki_policy=medium,19,2636194,,"","",false,59.3186,18.0550,2,1,1,0.0,,"Elevator,Wifi,Kitchen,Air conditioning,Dryer,Washer,TV,Essentials,Heating,Smoke alarm,Carbon monoxide alarm,Bathtub,Hot water,Bed linens,Coffee maker,Dishwasher,Dishes and silverware,Oven,Stove,Patio or balcony,Dining table,Freezer",,4,Flexible,SEK,,,96,4.61,4.7,4.5,4.5,4.7,4.9,4.7,2096.0,21832.0,109.6,1172.4,0.052,0.055,5.7,59.8,6.1,63.3,19,20,346,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
539747,"Lovely villa, with cinema, gym and jacuzzi!",Entire villa,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-539747/original/85789ece-f743-4e41-a304-da962c1f3360.jpeg,21,2651868,Helena,"","",false,59.2783,18.1182,6,3,3,2.5,false,"TV,Wifi,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Gym,Conditioner,Outdoor furniture,Hot tub,Cleaning products,Indoor fireplace,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Bathtub,High chair,Children’s books and toys,Blender,Crib,Pack ’n play/Travel crib,Room-darkening shades,Movie theater,Hot water,Body soap,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Piano,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Exercise equipment,Shower gel,Patio or balcony,Long term stays allowed,Dining table,Outdoor playground,Baking sheet,Barbecue utensils,Sun loungers,Toaster",false,6,Firm,SEK,0,0,6,5.0,5.0,5.0,5.0,5.0,5.0,4.8,18571.0,180821.0,259.0,2653.7,0.181,0.365,50.9,495.4,102.6,999.0,66,184,299,365,12224.0,117187.0,289.0,2770.7,0.467,0.0,135.8,1302.1,0.0,0.0,42,0,48,90
556363,Spacious apartment at top location,Entire loft,entire_home,https://a0.muscache.com/im/pictures/6862991/64980c82_original.jpg,48,2735709,Lennard,"","",false,59.3417,18.0371,3,,2,1.5,false,"TV,Cable TV,Wifi,Kitchen,Hot water,Elevator,Bed linens,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Smoke alarm,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron",false,12,Strict,SEK,60,26,44,4.64,4.7,4.7,4.5,4.8,4.9,4.5,4228.0,45599.0,104.9,1074.9,0.118,0.13,11.6,124.9,12.8,138.2,43,35,322,365,241.0,2310.0,116.4,1115.8,0.022,0.036,2.7,25.7,4.3,41.2,2,34,88,90
560308,Great 2 bedroom apartment Stockholm,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-560308/original/9df65417-6515-4c8e-b587-b80dd3f98106.jpeg,14,2755002,Checkin,"","",false,59.3354,17.9767,4,2,3,1.0,false,"TV,Cable TV,Wifi,Kitchen,Pack ’n play/Travel crib,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Single level home,Beach access,Smoke alarm,Shower gel,Backyard,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",false,21,Firm,SEK,498,0,15,4.64,4.6,4.9,4.3,4.8,4.4,4.3,13313.0,144640.0,170.3,1754.2,0.208,0.319,36.5,396.3,55.9,607.7,76,127,289,365,0.0,0.0,163.8,1569.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
568341,Junior 1 bedroom Apartment Stockholm 2,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/7672689/d2940197_original.jpg,15,2755002,Checkin,"","",false,59.3358,18.0298,3,1,1,1.0,false,"TV,Wifi,Kitchen,Hot water,Elevator,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Dryer,Single level home,Smoke alarm,Shower gel,Backyard,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",false,1,Firm,SEK,20,0,50,4.64,4.8,5.0,4.4,4.9,4.8,4.5,15941.0,155878.0,144.4,1482.2,0.293,0.428,43.7,427.1,63.8,623.5,107,115,258,365,11164.0,107021.0,151.1,1448.4,0.822,0.914,124.0,1189.1,137.8,1321.2,74,9,16,90
581243,Great Room in City Center,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/78e94c5a-a8e6-498c-b1b7-40f4084bcb2f.jpg,12,2860556,Edwin,"","",true,59.3389,18.0919,,,1,0.0,false,"TV,Wifi,Kitchen,Hot water kettle,Hot water,Body soap,Conditioner,Elevator,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Heating,Clothing storage,Stove,Smoke alarm,Shower gel,Carbon monoxide alarm,Patio or balcony,First aid kit,Luggage dropoff allowed,Essentials,Shampoo,Lock on bedroom door,Hangers,Dining table,Hair dryer,Iron",true,1,Moderate,SEK,0,0,790,4.92,4.9,4.9,5.0,4.9,4.9,4.9,3075.0,33166.0,46.4,496.0,0.184,0.0,8.4,90.9,0.0,0.0,67,0,298,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
708979,Cozy apartment near city and nature,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-708979/original/fd24d69b-675e-4614-85f6-ba4cb9c57165.jpeg,20,1842108,Samuel,26433069,Irene,false,59.2927,18.1123,4,2,3,1.0,false,"TV,Cable TV,Wifi,Pool,Kitchen,Board games,Hot water kettle,Paid parking off premises,Books and reading material,Pets allowed,Gym,Cleaning products,Drying rack for clothing,Heating,Wine glasses,Dryer,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Hangers,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Bathtub,Children’s books and toys,Blender,Window guards,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Extra pillows and blankets,Coffee maker,Refrigerator,Fire pit,Dishwasher,Dishes and silverware,Cooking basics,Oven,Sauna,Stove,BBQ grill,Exercise equipment,Patio or balcony,Backyard,Long term stays allowed,Children's playroom,Dining table,Outdoor playground,Barbecue utensils,Toaster",false,14,Firm,SEK,41,0,14,5.0,5.0,5.0,4.9,5.0,4.9,4.9,4601.0,44111.0,80.5,827.5,0.151,0.284,12.6,120.9,23.7,227.4,55,171,310,365,4601.0,44111.0,83.8,803.7,0.611,0.647,51.1,490.1,54.1,519.0,55,5,35,90
739726,Cozy apartment at Södermalm/SOFO,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzM5NzI2/original/a03640ad-b943-4895-a207-502bbfcbbea9.jpeg,27,2400487,Ulla,"","",false,59.3141,18.0810,2,1,1,1.0,false,"Blender,Wifi,Kitchen,Room-darkening shades,Hot water kettle,Paid parking off premises,Hot water,Elevator,Bed linens,Outdoor furniture,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Clothing storage,Stove,Washer,Single level home,Smoke alarm,Patio or balcony,First aid kit,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Toaster,Bathtub",false,5,Firm,SEK,0,0,107,4.84,4.9,4.9,4.9,4.9,5.0,4.8,846.0,9394.0,79.7,852.0,0.03,0.045,2.3,25.7,3.5,38.3,11,120,354,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
755843,Nice apartment in the city center,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/107931604/d2b846e6_original.jpg,10,3978910,Pär,"","",false,59.3288,18.0356,4,1,4,2.0,false,"TV,Cable TV,Wifi,Waterfront,Lake access,Kitchen,Hot water kettle,Books and reading material,Portable fans,Elevator,Laundromat nearby,Cleaning products,Indoor fireplace,Heating,Coffee,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Freezer,Sound system,Outlet covers,Bathtub,Blender,Pack ’n play/Travel crib,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony,Luggage dropoff allowed,Cleaning before checkout,Dining table,Barbecue utensils,Toaster",false,2,Strict,SEK,0,0,238,4.75,4.8,5.0,4.4,5.0,4.9,4.8,37576.0,378502.0,149.8,1541.3,0.688,0.0,102.9,1037.0,0.0,0.0,251,0,114,365,13180.0,126349.0,149.9,1436.6,0.978,0.0,146.4,1403.9,0.0,0.0,88,0,2,90
763407,Cozy flat in central Stockholm,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3fdb80b7-667a-4274-b2a9-a47b78fe3ec0.jpg,12,3549257,Gabriella,"","",true,59.3449,18.0522,4,3,3,1.0,false,"TV,Cable TV,Wifi,Kitchen,Game console,Hot water,Breakfast,Elevator,Microwave,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Smoke alarm,Patio or balcony,Essentials,Shampoo,Hangers,Hair dryer,Iron,Bathtub",,3,Firm,SEK,47,,102,4.94,4.9,4.9,4.9,4.9,4.8,4.8,16467.0,168253.0,190.2,1951.6,0.236,0.935,45.1,461.0,179.0,1828.8,86,273,279,365,2155.0,20659.0,200.7,1924.2,0.122,0.917,23.9,229.5,179.6,1721.6,11,78,79,90
